Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1µ","C_0603_1608Metric",121.250000,-70.350000,90.000000,top
"C2","100n","C_0603_1608Metric",119.650000,-70.350000,90.000000,top
"D1","LED_ARGB","LED_0404",146.125000,-61.575000,0.000000,top
"D2","LED_ARGB","LED_0404",146.125000,-63.575000,0.000000,top
"D3","LED_ARGB","LED_0404",146.125000,-65.575000,0.000000,top
"D4","LED_ARGB","LED_0404",146.125000,-67.575000,0.000000,top
"D5","LED_ARGB","LED_0404",146.125000,-69.575000,0.000000,top
"D6","LED_ARGB","LED_0404",146.125000,-71.575000,0.000000,top
"D7","LED_ARGB","LED_0404",146.125000,-73.575000,0.000000,top
"D8","LED_ARGB","LED_0404",146.125000,-75.575000,0.000000,top
"D9","LED_ARGB","LED_0404",146.125000,-77.575000,0.000000,top
"D10","LED_ARGB","LED_0404",146.125000,-79.575000,0.000000,top
"D11","LED_ARGB","LED_0404",146.125000,-81.575000,0.000000,top
"D12","LED_ARGB","LED_0404",144.125000,-61.575000,0.000000,top
"D13","LED_ARGB","LED_0404",144.125000,-63.575000,0.000000,top
"D14","LED_ARGB","LED_0404",144.125000,-65.575000,0.000000,top
"D15","LED_ARGB","LED_0404",144.125000,-67.575000,0.000000,top
"D16","LED_ARGB","LED_0404",144.125000,-69.575000,0.000000,top
"D17","LED_ARGB","LED_0404",144.125000,-71.575000,0.000000,top
"D18","LED_ARGB","LED_0404",144.125000,-73.575000,0.000000,top
"D19","LED_ARGB","LED_0404",144.125000,-75.575000,0.000000,top
"D20","LED_ARGB","LED_0404",144.125000,-77.575000,0.000000,top
"D21","LED_ARGB","LED_0404",144.125000,-79.575000,0.000000,top
"D22","LED_ARGB","LED_0404",144.125000,-81.575000,0.000000,top
"D23","LED_ARGB","LED_0404",142.125000,-61.575000,0.000000,top
"D24","LED_ARGB","LED_0404",142.125000,-63.575000,0.000000,top
"D25","LED_ARGB","LED_0404",142.125000,-65.575000,0.000000,top
"D26","LED_ARGB","LED_0404",142.125000,-67.575000,0.000000,top
"D27","LED_ARGB","LED_0404",142.125000,-69.575000,0.000000,top
"D28","LED_ARGB","LED_0404",142.125000,-71.575000,0.000000,top
"D29","LED_ARGB","LED_0404",142.125000,-73.575000,0.000000,top
"D30","LED_ARGB","LED_0404",142.125000,-75.575000,0.000000,top
"D31","LED_ARGB","LED_0404",142.125000,-77.575000,0.000000,top
